mes,diaSemana,minuto,idSensor,sensCorriente,sensLuminosidad,sensSonido,sensPir,estadoLuz
1,7,1,1020,0,0.027,0.065,0,0
1,7,2,1020,0,0.020,0.046,0,0
1,7,3,1020,0,0.026,0.051,0,0
1,7,4,1020,0,0.027,0.065,0,0
1,7,5,1020,0,0.023,0.074,0,0
1,7,6,1020,0,0.028,0.080,0,0
1,7,7,1020,0,0.022,0.072,0,0
1,7,8,1020,0,0.023,0.044,0,0
1,7,9,1020,0,0.024,0.083,0,0
1,7,10,1020,0,0.021,0.065,0,0
1,7,11,1020,0,0.023,0.051,0,0
1,7,12,1020,0,0.029,0.062,0,0
1,7,13,1020,0,0.023,0.074,0,0
1,7,14,1020,0,0.025,0.054,0,0
1,7,15,1020,0,0.026,0.071,0,0
1,7,16,1020,0,0.023,0.065,0,0
1,7,17,1020,0,0.026,0.065,0,0
1,7,18,1020,0,0.021,0.049,0,0
1,7,19,1020,0,0.029,0.078,0,0
1,7,20,1020,0,0.021,0.054,0,0
1,7,21,1020,0,0.024,0.048,0,0
1,7,22,1020,0,0.021,0.052,0,0
1,7,23,1020,0,0.022,0.086,0,0
1,7,24,1020,0,0.025,0.079,0,0
1,7,25,1020,0,0.021,0.072,0,0
1,7,26,1020,0,0.028,0.080,0,0
1,7,27,1020,0,0.027,0.048,0,0
1,7,28,1020,0,0.022,0.042,0,0
1,7,29,1020,0,0.021,0.077,0,0
1,7,30,1020,0,0.026,0.078,0,0
1,7,31,1020,0,0.025,0.063,0,0
1,7,32,1020,0,0.021,0.046,0,0
1,7,33,1020,0,0.022,0.084,0,0
1,7,34,1020,0,0.025,0.041,0,0
1,7,35,1020,0,0.023,0.076,0,0
1,7,36,1020,0,0.021,0.079,0,0
1,7,37,1020,0,0.029,0.062,0,0
1,7,38,1020,0,0.023,0.055,0,0
1,7,39,1020,0,0.028,0.045,0,0
1,7,40,1020,0,0.020,0.078,0,0
1,7,41,1020,0,0.023,0.055,0,0
1,7,42,1020,0,0.022,0.040,0,0
1,7,43,1020,0,0.026,0.047,0,0
1,7,44,1020,0,0.029,0.055,0,0
1,7,45,1020,0,0.023,0.043,0,0
1,7,46,1020,0,0.028,0.068,0,0
1,7,47,1020,0,0.023,0.082,0,0
1,7,48,1020,0,0.022,0.076,0,0
1,7,49,1020,0,0.027,0.049,0,0
1,7,50,1020,0,0.025,0.053,0,0
1,7,51,1020,0,0.023,0.078,0,0
1,7,52,1020,0,0.025,0.073,0,0
1,7,53,1020,0,0.028,0.042,0,0
1,7,54,1020,0,0.029,0.072,0,0
1,7,55,1020,0,0.025,0.072,0,0
1,7,56,1020,0,0.028,0.063,0,0
1,7,57,1020,0,0.022,0.082,0,0
1,7,58,1020,0,0.024,0.080,0,0
1,7,59,1020,0,0.022,0.058,0,0
1,7,60,1020,0,0.024,0.081,0,0
1,7,61,1020,0,0.027,0.069,0,0
1,7,62,1020,0,0.029,0.086,0,0
1,7,63,1020,0,0.020,0.041,0,0
1,7,64,1020,0,0.026,0.083,0,0
1,7,65,1020,0,0.026,0.076,0,0
1,7,66,1020,0,0.024,0.046,0,0
1,7,67,1020,0,0.022,0.088,0,0
1,7,68,1020,0,0.021,0.059,0,0
1,7,69,1020,0,0.029,0.063,0,0
1,7,70,1020,0,0.026,0.058,0,0
1,7,71,1020,0,0.025,0.060,0,0
1,7,72,1020,0,0.024,0.040,0,0
1,7,73,1020,0,0.026,0.087,0,0
1,7,74,1020,0,0.022,0.065,0,0
1,7,75,1020,0,0.020,0.079,0,0
1,7,76,1020,0,0.027,0.084,0,0
1,7,77,1020,0,0.025,0.067,0,0
1,7,78,1020,0,0.028,0.053,0,0
1,7,79,1020,0,0.027,0.079,0,0
1,7,80,1020,0,0.021,0.048,0,0
1,7,81,1020,0,0.025,0.086,0,0
1,7,82,1020,0,0.021,0.066,0,0
1,7,83,1020,0,0.025,0.074,0,0
1,7,84,1020,0,0.028,0.048,0,0
1,7,85,1020,0,0.021,0.057,0,0
1,7,86,1020,0,0.024,0.055,0,0
1,7,87,1020,0,0.020,0.054,0,0
1,7,88,1020,0,0.026,0.082,0,0
1,7,89,1020,0,0.022,0.089,0,0
1,7,90,1020,0,0.027,0.052,0,0
1,7,91,1020,0,0.029,0.067,0,0
1,7,92,1020,0,0.023,0.061,0,0
1,7,93,1020,0,0.020,0.041,0,0
1,7,94,1020,0,0.027,0.042,0,0
1,7,95,1020,0,0.028,0.053,0,0
1,7,96,1020,0,0.021,0.054,0,0
1,7,97,1020,0,0.024,0.051,0,0
1,7,98,1020,0,0.022,0.062,0,0
1,7,99,1020,0,0.023,0.073,0,0
1,7,100,1020,0,0.022,0.089,0,0
1,7,101,1020,0,0.025,0.086,0,0
1,7,102,1020,0,0.021,0.085,0,0
1,7,103,1020,0,0.024,0.070,0,0
1,7,104,1020,0,0.024,0.071,0,0
1,7,105,1020,0,0.028,0.081,0,0
1,7,106,1020,0,0.024,0.088,0,0
1,7,107,1020,0,0.024,0.063,0,0
1,7,108,1020,0,0.029,0.059,0,0
1,7,109,1020,0,0.025,0.049,0,0
1,7,110,1020,0,0.028,0.040,0,0
1,7,111,1020,0,0.020,0.058,0,0
1,7,112,1020,0,0.025,0.081,0,0
1,7,113,1020,0,0.024,0.082,0,0
1,7,114,1020,0,0.028,0.066,0,0
1,7,115,1020,0,0.027,0.058,0,0
1,7,116,1020,0,0.026,0.053,0,0
1,7,117,1020,0,0.028,0.057,0,0
1,7,118,1020,0,0.022,0.053,0,0
1,7,119,1020,0,0.025,0.064,0,0
1,7,120,1020,0,0.023,0.073,0,0
1,7,121,1020,0,0.025,0.073,0,0
1,7,122,1020,0,0.026,0.065,0,0
1,7,123,1020,0,0.029,0.040,0,0
1,7,124,1020,0,0.026,0.079,0,0
1,7,125,1020,0,0.023,0.043,0,0
1,7,126,1020,0,0.020,0.071,0,0
1,7,127,1020,0,0.022,0.046,0,0
1,7,128,1020,0,0.025,0.042,0,0
1,7,129,1020,0,0.025,0.053,0,0
1,7,130,1020,0,0.021,0.082,0,0
1,7,131,1020,0,0.028,0.073,0,0
1,7,132,1020,0,0.025,0.059,0,0
1,7,133,1020,0,0.024,0.076,0,0
1,7,134,1020,0,0.029,0.062,0,0
1,7,135,1020,0,0.024,0.040,0,0
1,7,136,1020,0,0.026,0.050,0,0
1,7,137,1020,0,0.022,0.066,0,0
1,7,138,1020,0,0.026,0.089,0,0
1,7,139,1020,0,0.022,0.084,0,0
1,7,140,1020,0,0.025,0.062,0,0
1,7,141,1020,0,0.024,0.086,0,0
1,7,142,1020,0,0.029,0.063,0,0
1,7,143,1020,0,0.024,0.089,0,0
1,7,144,1020,0,0.025,0.069,0,0
1,7,145,1020,0,0.021,0.049,0,0
1,7,146,1020,0,0.024,0.076,0,0
1,7,147,1020,0,0.022,0.075,0,0
1,7,148,1020,0,0.026,0.073,0,0
1,7,149,1020,0,0.022,0.045,0,0
1,7,150,1020,0,0.029,0.051,0,0
1,7,151,1020,0,0.020,0.067,0,0
1,7,152,1020,0,0.029,0.053,0,0
1,7,153,1020,0,0.026,0.049,0,0
1,7,154,1020,0,0.027,0.061,0,0
1,7,155,1020,0,0.023,0.082,0,0
1,7,156,1020,0,0.022,0.050,0,0
1,7,157,1020,0,0.028,0.087,0,0
1,7,158,1020,0,0.020,0.072,0,0
1,7,159,1020,0,0.029,0.076,0,0
1,7,160,1020,0,0.021,0.041,0,0
1,7,161,1020,0,0.029,0.059,0,0
1,7,162,1020,0,0.022,0.046,0,0
1,7,163,1020,0,0.028,0.083,0,0
1,7,164,1020,0,0.029,0.058,0,0
1,7,165,1020,0,0.024,0.059,0,0
1,7,166,1020,0,0.024,0.046,0,0
1,7,167,1020,0,0.022,0.052,0,0
1,7,168,1020,0,0.022,0.075,0,0
1,7,169,1020,0,0.024,0.044,0,0
1,7,170,1020,0,0.029,0.069,0,0
1,7,171,1020,0,0.027,0.047,0,0
1,7,172,1020,0,0.025,0.080,0,0
1,7,173,1020,0,0.025,0.049,0,0
1,7,174,1020,0,0.025,0.053,0,0
1,7,175,1020,0,0.024,0.083,0,0
1,7,176,1020,0,0.023,0.064,0,0
1,7,177,1020,0,0.029,0.079,0,0
1,7,178,1020,0,0.021,0.052,0,0
1,7,179,1020,0,0.020,0.046,0,0
1,7,180,1020,0,0.021,0.052,0,0
1,7,181,1020,0,0.020,0.080,0,0
1,7,182,1020,0,0.029,0.068,0,0
1,7,183,1020,0,0.024,0.087,0,0
1,7,184,1020,0,0.021,0.061,0,0
